lcd_id,lcd_version,related_num,r_ncd_id,r_ncd_version,last_updated
39455,6,1,0,1,2025-04-29 23:04:23.603000000
39462,4,1,0,1,2025-04-29 23:04:17.637000000
39464,4,1,0,1,2025-04-29 23:04:17.640000000
39467,6,1,372,1,2025-04-29 23:04:17.640000000
39469,6,1,372,1,2025-04-29 23:04:17.643000000
39475,7,1,0,1,2025-04-29 23:04:19.200000000
39477,7,1,366,1,2025-04-29 23:04:19.200000000
39477,7,2,1,1,2025-04-29 23:04:19.200000000
39479,3,1,0,1,2025-04-29 23:04:19.203000000
39479,5,1,0,1,2025-04-30 19:10:48.440000000
39481,5,1,0,1,2025-04-29 23:04:19.207000000
39490,7,1,179,1,2025-04-29 23:04:23.567000000
39492,7,1,179,1,2025-04-29 23:04:17
39506,3,1,64,1,2025-04-29 23:04:19.713000000
39506,3,2,14,1,2025-04-29 23:04:19.713000000
39506,3,3,129,1,2025-04-29 23:04:19.717000000
39506,3,4,338,1,2025-04-29 23:04:19.717000000
39513,3,1,1,1,2025-04-29 23:04:22.813000000
39513,3,2,366,1,2025-04-29 23:04:22.817000000
39521,7,1,211,1,2025-04-29 23:04:19.720000000
39521,7,2,323,1,2025-04-29 23:04:19.720000000
39521,7,3,356,1,2025-04-29 23:04:19.723000000
39521,7,4,331,1,2025-04-29 23:04:19.723000000
39521,7,5,298,1,2025-04-29 23:04:19.727000000
39521,7,6,294,1,2025-04-29 23:04:19.730000000
39521,7,7,331,1,2025-04-29 23:04:19.730000000
39521,7,8,323,1,2025-04-29 23:04:19.733000000
39529,3,1,0,1,2025-04-29 23:04:19.207000000
39529,5,1,0,1,2025-04-30 19:11:59.073000000
39543,5,1,249,1,2025-04-29 23:04:24.070000000
39553,14,1,0,1,2025-04-29 23:04:24.077000000
39553,21,1,0,1,2025-04-29 23:04:24.077000000
39573,3,1,147,1,2025-04-29 23:04:24.080000000
39575,4,1,366,1,2025-04-29 23:04:19.733000000
39575,4,2,217,1,2025-04-29 23:04:19.737000000
39583,3,1,0,1,2025-04-29 23:04:15.447000000
39585,3,1,0,1,2025-04-29 23:04:19.737000000
39585,4,1,0,1,2025-04-29 23:04:19.737000000
39589,3,1,0,1,2025-04-29 23:04:17.643000000
39591,11,1,0,1,2025-04-29 23:04:18.300000000
39594,3,1,0,1,2025-04-29 23:04:17.647000000
39611,4,1,29,1,2025-04-29 23:04:23.753000000
39611,4,2,28,1,2025-04-29 23:04:23.753000000
39614,3,1,0,1,2025-04-29 23:04:19.210000000
